Threads	Sequencial	Sequencial-std-dev	Pipeline	Pipeline-std-dev	Map	Map-std-dev	Pipeline-Farm	Pipeline-Farm-std-dev	Pipeline-Map	Pipeline-Map-std-dev	Pipeline-Farm-Map	Pipeline-Farm-Map-std-dev	
1	40471.089000	2.756482	40570.935800	2.286089	40563.944400	4.132992	40466.959400	1.380811	40559.265800	0.760469	40558.668000	1.559445	
2	0.0	0.0	0.0	0.0	20330.472000	1.974812	20255.150600	3.608354	20338.828600	5.452723	20299.703600	4.131343	
3	0.0	0.0	0.0	0.0	13586.086000	8.392148	13506.745600	1.063971	13589.114000	7.440287	13546.282000	13.198438	
4	0.0	0.0	0.0	0.0	10231.892800	2.438949	10146.274000	9.081488	10217.984600	8.084611	10161.156000	6.087284	
5	0.0	0.0	0.0	0.0	8389.059400	3.344696	8318.646000	0.736895	8399.859400	8.562177	8323.988600	5.080141	
6	0.0	0.0	0.0	0.0	7122.845200	1.785564	7033.516200	0.876321	7129.560200	2.539533	7051.414800	2.134805	
7	0.0	0.0	0.0	0.0	6128.500200	5.617631	6032.677000	4.120546	6132.004600	8.860466	6055.055800	4.659067	
8	0.0	0.0	0.0	0.0	5380.782600	3.264867	5316.052200	55.413104	5386.985600	6.874879	5308.274000	18.910058	
9	0.0	0.0	0.0	0.0	4905.732000	4.031009	4802.114400	2.229007	4915.246000	6.076405	4812.942400	2.585293	
10	0.0	0.0	0.0	0.0	4514.279000	1.928108	4402.388600	0.092970	4519.614800	3.677519	4414.019400	1.598026	
11	0.0	0.0	0.0	0.0	4117.327200	3.660621	4004.864800	2.138353	4123.258600	3.959108	4014.575600	3.429531	
12	0.0	0.0	0.0	0.0	3825.646000	33.464431	3693.582600	29.322605	3799.350200	5.895348	3684.593200	10.435001	
13	0.0	0.0	0.0	0.0	3578.873400	21.855516	3444.595400	0.726035	3570.984600	4.545647	3449.512600	1.719421	
14	0.0	0.0	0.0	0.0	3368.843400	3.295048	3244.506200	1.156814	3367.724800	3.437667	3246.935200	1.886117	
15	0.0	0.0	0.0	0.0	3194.496400	1.663949	3066.828200	1.917462	3191.054600	2.319155	3066.106200	1.808337	
16	0.0	0.0	0.0	0.0	3036.625000	1.182612	2906.421800	0.705953	3033.772000	2.921363	2904.972000	1.368317	
17	0.0	0.0	0.0	0.0	2896.843800	1.218649	2762.895400	1.674991	2889.524000	3.018103	2759.559800	1.018509	
18	0.0	0.0	0.0	0.0	2770.277200	1.865160	2632.721000	1.319868	2762.716800	4.209966	2628.264400	1.233519	
19	0.0	0.0	0.0	0.0	2654.231200	1.070272	2513.977200	0.932544	2645.747000	1.694903	2512.130800	7.140512	
20	0.0	0.0	0.0	0.0	2549.213600	1.849782	2406.215600	1.202723	2540.007800	1.674451	2400.159600	1.623654	
21	0.0	0.0	0.0	0.0	2450.438400	2.370101	2306.608000	1.182706	2443.773000	2.080309	2301.156000	3.163630	
22	0.0	0.0	0.0	0.0	2361.471600	2.152346	2216.714400	4.366706	2353.260200	2.959301	2209.195600	2.678430	
23	0.0	0.0	0.0	0.0	2279.676600	1.705145	2131.255800	1.407828	2271.724000	3.013631	2126.466000	6.091674	
24	0.0	0.0	0.0	0.0	2204.896000	1.609869	2055.295800	6.289102	2195.993200	5.364213	2048.726400	8.514616	
